Duration,Checking account,Credit amount,Purpose,Job,Sex,data_source,Saving accounts,Housing,Risk,Age,Unnamed: 0
18.0,moderate,2622,business,2.0,male,kaggle,moderate,own,good,34,97.0
21.0,moderate,2767,business,1.0,male,kaggle,moderate,rent,bad,61,237.0
36.0,little,-876543456789,car,2.0,male,kaggle,little,own,bad,24,805.0
18.0,little,4380,car,1.0,male,kaggle,moderate,own,good,35,737.0
18.0,,3850,car,2.0,male,kaggle,little,own,good,27,366.0
18.0,little,1190,repairs,0.0,female,kaggle,little,free,bad,55,429.0
6.0,,,radio/TV,2.0,female,kaggle,little,own,good,24,102.0
9.0,little,2136,furniture/equipment,2.0,male,kaggle,little,own,good,25,434.0
36.0,little,1977,education,3.0,male,kaggle,,own,bad,40,74.0
24.0,,1927,education,2.0,female,kaggle,,own,good,33,577.0
60.0,moderate,9157,radio/TV,,,kaggle,,free,good,27,616.0
12.0,,1542,business,2.0,male,kaggle,little,own,good,36,365.0
24.0,,717,car,2.0,male,kaggle,,own,good,54,798.0
24.0,little,2359,furniture/equipment,2.0,male,kaggle,moderate,own,bad,33,918.0
18.0,,1169,radio/TV,2.0,male,kaggle,,own,good,29,894.0
18.0,little,1216,car,2.0,female,kaggle,little,rent,bad,23,831.0
20.0,little,4272,furniture/equipment,2.0,female,kaggle,little,own,good,24,802.0
24.0,,2463,car,2.0,male,kaggle,moderate,own,good,27,764.0
12.0,little,2214,radio/TV,1.0,male,kaggle,little,own,good,24,762.0
24.0,moderate,1743,radio/TV,1.0,male,kaggle,little,own,good,48,989.0
15.0,moderate,2326,business,2.0,male,kaggle,quite rich,own,good,27,388.0
24.0,little,1823,radio/TV,3.0,male,kaggle,little,own,36,30,235.0
15.0,rich,1271,radio/TV,2.0,male,kaggle,,free,bad,39,757.0
24.0,,1533,radio/TV,2.0,female,kaggle,little,own,good,38,267.0
12.0,,1592,furniture/equipment,2.0,female,kaggle,rich,own,good,35,897.0
21.0,,2241,furniture/equipment,2.0,,kaggle,little,own,good,50,662.0
10.0,little,2132,furniture/equipment,2.0,female,kaggle,,rent,good,27,117.0
24.0,,1287,car,2.0,female,kaggle,rich,own,good,37,437.0
6.0,,2080,car,2.0,male,kaggle,quite rich,own,good,24,673.0
18.0,,433,radio/TV,2.0,female,kaggle,little,rent,bad,22,249.0
11.0,moderate,1322,car,2.0,female,kaggle,rich,own,good,40,875.0
21.0,little,571,car,2.0,male,kaggle,little,own,good,65,179.0
6.0,,2080,car,2.0,male,kaggle,quite rich,own,good,24,673.0
12.0,moderate,1318,car,,male,kaggle,rich,own,good,54,94.0
48.0,,,car,1.0,female,kaggle,moderate,rent,bad,24,333.0
12.0,,1264,business,,male,kaggle,,rent,good,57,33.0
14.0,little,3973,car,,male,kaggle,little,,good,22,655.0
24.0,,1597,education,2.0,male,kaggle,little,free,good,54,800.0
12.0,rich,1424,furniture/equipment,3.0,female,kaggle,,own,good,55,448.0
36.0,little,1977,education,3.0,male,kaggle,,own,bad,40,74.0
30.0,,3077,radio/TV,2.0,male,kaggle,,own,good,40,716.0
48.0,little,7685,business,2.0,female,kaggle,little,rent,bad,37,375.0
12.0,moderate,1103,radio/TV,2.0,male,kaggle,little,own,good,29,696.0
6.0,little,1169,radio/TV,2.0,male,kaggle,,own,good,67,0.0
36.0,moderate,5800,car,2.0,male,kaggle,little,own,good,34,893.0
30.0,rich,3017,radio/TV,2.0,male,kaggle,little,own,good,47,669.0
24.0,,5150,furniture/equipment,2.0,male,kaggle,little,own,good,33,676.0
15.0,little,3643,furniture/equipment,1.0,female,kaggle,little,own,good,27,319.0
18.0,,1568,business,1.0,female,kaggle,moderate,rent,good,24,82.0
18.0,moderate,1295,furniture/equipment,2.0,female,kaggle,little,own,good,27,86.0
12.0,moderate,585,radio/TV,2.0,,kaggle,little,,,20,513.0
24.0,,5150,furniture/equipment,2.0,male,kaggle,little,own,good,33,676.0
24.0,little,3234,furniture/equipment,1.0,female,kaggle,little,rent,bad,23,570.0
18.0,little,750,education,,female,kaggle,little,,bad,27,640.0
15.0,little,1053,radio/TV,2.0,male,kaggle,little,own,good,27,407.0
27.0,,5190,repairs,2.0,male,kaggle,,own,good,48,65.0
24.0,little,2812,car,2.0,female,kaggle,,rent,good,26,770.0
6.0,,,car,2.0,female,kaggle,little,own,good,37,515.0
12.0,little,2578,furniture/equipment,3.0,female,kaggle,little,free,good,55,396.0
36.0,,7127,furniture/equipment,2.0,female,kaggle,little,,bad,23,517.0
36.0,little,2712,furniture/equipment,2.0,male,kaggle,little,own,bad,41,822.0
18.0,moderate,2899,car,2.0,,kaggle,,own,good,,
30.0,,4272,business,1.0,male,kaggle,moderate,own,good,26,384.0
18.0,little,1882,radio/TV,2.0,female,kaggle,little,rent,bad,25,727.0
24.0,rich,5152,radio/TV,2.0,male,kaggle,little,own,good,25,477.0
12.0,,2445,car,2.0,male,kaggle,,rent,good,26,104.0
12.0,,1291,radio/TV,2.0,female,kaggle,little,own,good,35,238.0
15.0,,2186,furniture/equipment,1.0,female,kaggle,,rent,good,33,898.0
9.0,,2753,radio/TV,2.0,male,kaggle,moderate,own,good,35,688.0
12.0,moderate,1484,radio/TV,2.0,male,kaggle,,own,bad,25,435.0
18.0,little,3966,car,2.0,female,kaggle,little,rent,bad,33,826.0
42.0,moderate,9283,car,3.0,male,kaggle,little,free,good,55,808.0
36.0,,,business,,,kaggle,,,bad,,
15.0,,874,domestic appliances,2.0,female,kaggle,,own,good,24,873.0
15.0,,1471,radio/TV,2.0,male,kaggle,little,free,good,35,852.0
36.0,moderate,9034,furniture/equipment,3.0,male,kaggle,moderate,rent,bad,29,496.0
24.0,,2375,business,2.0,male,kaggle,quite rich,own,good,44,830.0
24.0,,2978,business,2.0,male,kaggle,,own,good,32,223.0
48.0,moderate,3566,business,2.0,male,kaggle,moderate,own,good,30,145.0
12.0,moderate,888,car,1.0,male,kaggle,little,own,bad,41,656.0
60.0,,13756,car,3.0,male,kaggle,,free,good,63,373.0
24.0,,3863,business,2.0,male,kaggle,little,free,good,32,599.0
18.0,,629,radio/TV,3.0,male,kaggle,quite rich,own,good,32,710.0
21.0,little,3763,car,1.0,male,kaggle,,own,good,24,906.0
36.0,moderate,9857,business,1.0,male,kaggle,moderate,own,good,31,684.0
18.0,,1943,repairs,2.0,female,kaggle,little,own,bad,23,842.0
24.0,moderate,5084,radio/TV,2.0,female,kaggle,,own,good,42,833.0
12.0,moderate,841,business,1.0,female,kaggle,moderate,rent,good,23,752.0
22.0,,1283,car,2.0,female,kaggle,,rent,good,25,382.0
30.0,moderate,5234,car,3.0,male,kaggle,little,own,bad,,9.0
15.0,moderate,1512,repairs,2.0,male,kaggle,rich,own,bad,61,449.0
9.0,moderate,25364435423,radio/TV,2.0,female,kaggle,little,own,good,25,708.0
60.0,moderate,7418,radio/TV,1.0,male,kaggle,,own,good,27,255.0
30.0,moderate,2181,car,2.0,male,kaggle,,own,good,36,882.0
12.0,,707,radio/TV,2.0,male,kaggle,little,own,good,30,222.0
9.0,,1449,business,2.0,female,kaggle,little,own,good,27,389.0
48.0,moderate,5096,furniture/equipment,3.0,female,kaggle,little,own,bad,30,444.0
9.0,moderate,3195,car,1.0,female,kaggle,,own,good,33,909.0
9.0,moderate,5129,car,3.0,female,kaggle,little,free,bad,74,186.0
15.0,,3594,car,1.0,female,kaggle,little,own,good,46,908.0
24.0,little,6872,furniture/equipment,2.0,male,kaggle,little,own,bad,55,924.0
18.0,little,976,car,1.0,female,kaggle,little,own,bad,23,751.0
8.0,little,3398,car,1.0,male,kaggle,little,own,good,39,325.0
36.0,little,3620,furniture/equipment,2.0,male,kaggle,little,own,good,37,460.0
18.0,moderate,12976,car,3.0,female,kaggle,little,free,bad,38,381.0
6.0,,1221,furniture/equipment,2.0,male,kaggle,,own,good,27,792.0
24.0,moderate,11560,car,3.0,female,kaggle,little,rent,bad,23,736.0
28.0,little,4006,car,1.0,male,kaggle,little,own,bad,45,958.0
36.0,little,5493,car,2.0,male,kaggle,little,free,good,42,501.0
30.0,moderate,4280,business,1.0,female,kaggle,moderate,rent,bad,26,739.0
30.0,,2333,radio/TV,3.0,male,kaggle,quite rich,own,good,30,40.0
36.0,,7409,business,2.0,male,kaggle,,own,good,37,868.0
24.0,little,1987,radio/TV,1.0,male,kaggle,little,rent,bad,21,731.0
18.0,rich,3049,furniture/equipment,1.0,female,kaggle,little,own,good,45,539.0
12.0,,1655,radio/TV,1.0,male,kaggle,little,own,good,63,769.0
36.0,moderate,3711,education,2.0,male,kaggle,,own,good,27,907.0
12.0,,926,car,0.0,female,kaggle,little,own,good,38,697.0
18.0,,1149,radio/TV,2.0,male,kaggle,rich,own,good,46,427.0
,,,,,,kaggle,,,bad,22,555.0
,,,,,,kaggle,,,,,
24.0,,6842,car,3.0,male,kaggle,,own,good,46,939.0
9.0,little,1138,radio/TV,1.0,male,kaggle,little,own,good,25,713.0
6.0,little,1203,car,2.0,male,kaggle,moderate,own,good,43,518.0
10.0,,2146,furniture/equipment,2.0,female,kaggle,little,rent,good,23,372.0
48.0,,3609,business,2.0,female,kaggle,little,own,good,27,667.0
48.0,,6110,education,2.0,male,kaggle,little,free,good,31,36.0
,,,,2.0,female,kaggle,little,own,good,32,704.0
36.0,,4463,radio/TV,3.0,male,kaggle,little,own,bad,26,357.0
15.0,,3568,radio/TV,3.0,female,kaggle,little,rent,good,54,967.0
12.0,moderate,836,car,1.0,female,kaggle,moderate,own,bad,23,783.0
36.0,moderate,3990,domestic appliances,0.0,female,kaggle,,own,good,29,735.0
48.0,,12749,radio/TV,3.0,male,kaggle,quite rich,own,good,37,921.0
48.0,little,7119,furniture/equipment,2.0,male,kaggle,little,free,bad,53,522.0
15.0,moderate,1514,repairs,2.0,male,kaggle,moderate,own,good,22,970.0
24.0,moderate,3092,radio/TV,2.0,male,kaggle,moderate,rent,bad,22,470.0
14.0,little,3973,car,2.0,male,kaggle,little,free,good,22,655.0
12.0,,3331,furniture/equipment,2.0,male,kaggle,little,own,good,42,867.0
21.0,moderate,3976,furniture/equipment,2.0,male,kaggle,,own,good,35,845.0
48.0,moderate,5951,radio/TV,2.0,female,kaggle,little,own,bad,22,1.0
36.0,moderate,4795,radio/TV,3.0,female,kaggle,little,own,good,30,141.0
24.0,little,1381,car,2.0,female,kaggle,,own,bad,35,414.0
24.0,rich,1377,radio/TV,2.0,female,kaggle,moderate,free,good,47,702.0
24.0,moderate,6967,business,3.0,male,kaggle,moderate,rent,good,36,154.0
21.0,little,2606,radio/TV,3.0,female,kaggle,little,rent,good,28,896.0
,,,,2.0,female,kaggle,moderate,own,,27,492.0
15.0,,1478,radio/TV,2.0,male,kaggle,little,own,good,33,682.0
18.0,moderate,1913,business,2.0,male,kaggle,rich,own,good,36,30.0
36.0,,2394,radio/TV,2.0,female,kaggle,,own,good,25,69.0
24.0,,2872,radio/TV,2.0,male,kaggle,moderate,own,good,36,160.0
6.0,,1740,radio/TV,2.0,male,kaggle,little,rent,good,30,
36.0,little,15857,vacation/others,3.0,male,kaggle,little,own,good,43,818.0
48.0,,10127,car,2.0,male,kaggle,quite rich,free,bad,44,304.0
12.0,,1101,car,2.0,male,kaggle,little,own,good,27,820.0
60.0,moderate,6288,education,2.0,male,kaggle,little,free,bad,42,938.0
15.0,rich,2327,radio/TV,1.0,female,kaggle,little,own,bad,25,834.0
12.0,moderate,7472,car,0.0,female,kaggle,,rent,good,24,804.0
12.0,little,795,education,2.0,female,kaggle,little,own,bad,53,885.0
30.0,moderate,3832,furniture/equipment,2.0,male,kaggle,little,own,good,22,79.0
24.0,little,2325,car,2.0,male,kaggle,moderate,own,good,32,740.0
48.0,little,3931,car,2.0,male,kaggle,little,free,bad,46,814.0
14.0,,802,car,1.0,male,kaggle,little,own,good,27,403.0
36.0,,5742,business,2.0,male,kaggle,moderate,own,good,31,671.0
,,,,2.0,female,kaggle,little,rent,bad,25,707.0
48.0,moderate,3979,radio/TV,2.0,male,kaggle,,own,good,41,568.0
36.0,,,radio/TV,,,kaggle,,,good,,
18.0,,1984,furniture/equipment,2.0,male,kaggle,little,free,good,47,133.0
9.0,moderate,1206,radio/TV,2.0,female,kaggle,little,own,good,25,708.0
12.0,,522,radio/TV,2.0,male,kaggle,quite rich,own,good,42,933.0
30.0,,1867,radio/TV,2.0,male,kaggle,,own,good,58,928.0
8.0,little,731,car,1.0,male,kaggle,little,own,good,47,823.0
18.0,rich,2100,radio/TV,2.0,male,kaggle,little,own,bad,37,37.0
15.0,rich,2687,business,2.0,male,kaggle,little,rent,good,26,512.0
27.0,,8613,car,2.0,male,kaggle,rich,own,good,27,136.0
12.0,moderate,1410,education,1.0,male,kaggle,little,own,good,31,782.0
24.0,little,1207,car,2.0,female,kaggle,little,rent,bad,24,504.0
30.0,moderate,8386,furniture/equipment,2.0,male,kaggle,little,own,bad,49,980.0
24.0,moderate,3758,radio/TV,0.0,female,kaggle,quite rich,rent,good,23,347.0
18.0,,1126,radio/TV,2.0,female,kaggle,,rent,good,21,386.0
36.0,,4686,car,3.0,male,kaggle,little,free,good,32,511.0
24.0,moderate,4113,car,2.0,female,kaggle,quite rich,rent,bad,28,952.0
18.0,,1169,radio/TV,2.0,male,kaggle,,own,good,29,894.0
36.0,little,8335,car,2.0,male,kaggle,,free,bad,47,828.0
24.0,little,3349,furniture/equipment,2.0,male,kaggle,quite rich,free,bad,30,
18.0,little,3114,furniture/equipment,2.0,female,kaggle,little,rent,bad,26,475.0
12.0,moderate,1092,radio/TV,2.0,female,kaggle,little,own,good,49,288.0
9.0,,2301,furniture/equipment,2.0,female,kaggle,moderate,rent,good,22,795.0
15.0,,874,domestic appliances,2.0,female,kaggle,,own,good,24,873.0
12.0,,1393,education,2.0,,kaggle,little,own,good,,635.0
,,,,,,kaggle,,,bad,31,559.0
24.0,little,2303,car,2.0,male,kaggle,little,own,bad,45,652.0
24.0,moderate,2064,furniture/equipment,3.0,female,kaggle,1243342,own,bad,34,172.0
30.0,moderate,3832,furniture/equipment,2.0,male,kaggle,little,own,good,22,79.0
18.0,,1505,radio/TV,3.0,male,kaggle,little,free,good,32,717.0
10.0,rich,1225,,2.0,male,kaggle,little,own,good,37,38.0
6.0,,1898,radio/TV,1.0,male,kaggle,,own,good,34,159.0
9.0,little,1138,radio/TV,1.0,male,kaggle,little,own,good,25,713.0
12.0,,618,radio/TV,2.0,male,kaggle,little,own,good,56,
18.0,little,1131,furniture/equipment,2.0,female,kaggle,little,356,bad,33,166.0
24.0,,2223,radio/TV,2.0,male,kaggle,moderate,own,good,52,773.0
11.0,moderate,1322,car,2.0,female,kaggle,rich,own,good,40,875.0
6.0,moderate,368,radio/TV,2.0,male,kaggle,,own,good,38,493.0
12.0,,930,radio/TV,2.0,male,kaggle,,own,good,65,807.0
48.0,moderate,8358,car,2.0,female,kaggle,quite rich,own,good,30,
12.0,little,900,car,2.0,male,kaggle,,own,bad,23,661.0
9.0,moderate,790,radio/TV,1.0,female,kaggle,quite rich,own,good,66,723.0
12.0,little,2171,car,1.0,male,kaggle,little,own,good,38,892.0
24.0,,,radio/TV,2.0,male,kaggle,little,own,good,,508.0
24.0,little,2359,furniture/equipment,2.0,male,kaggle,moderate,own,bad,33,918.0
12.0,little,759,car,2.0,male,kaggle,,own,bad,26,510.0
47.0,little,10722,car,1.0,female,kaggle,little,own,good,35,285.0
6.0,rich,1323,car,2.0,male,kaggle,moderate,own,,28,499.0
9.0,moderate,790,radio/TV,1.0,female,kaggle,quite rich,own,good,66,723.0
30.0,rich,3656,radio/TV,1.0,male,kaggle,,own,good,49,956.0
18.0,moderate,1924,furniture/equipment,2.0,female,kaggle,,rent,bad,27,124.0
18.0,,2404,radio/TV,2.0,female,kaggle,little,own,good,26,276.0
24.0,little,4169,furniture/equipment,2.0,male,kaggle,little,own,good,28,338.0
18.0,moderate,1941,business,1.0,male,kaggle,rich,own,good,35,785.0
6.0,rich,1299,car,0.0,male,kaggle,little,own,good,74,756.0
7.0,moderate,2415,radio/TV,,male,kaggle,little,own,good,34,28.0
48.0,moderate,3566,business,2.0,male,kaggle,moderate,own,good,30,145.0
18.0,moderate,1941,business,1.0,male,kaggle,rich,own,good,35,785.0
11.0,little,3939,car,1.0,male,kaggle,little,own,good,40,969.0
24.0,,3062,furniture/equipment,2.0,male,kaggle,quite rich,rent,good,32,794.0
48.0,moderate,8358,car,2.0,female,kaggle,quite rich,own,good,30,945.0
6.0,little,2647,radio/TV,2.0,male,kaggle,quite rich,rent,good,44,21.0
24.0,moderate,1935,business,2.0,male,kaggle,little,own,bad,31,169.0
30.0,,5954,radio/TV,2.0,male,kaggle,little,own,good,38,571.0
12.0,,1574,furniture/equipment,2.0,male,kaggle,little,own,good,50,281.0
12.0,moderate,1155,radio/TV,1.0,male,kaggle,little,own,good,40,765.0
12.0,,682,car,2.0,female,kaggle,moderate,own,good,51,147.0
12.0,rich,3016,radio/TV,2.0,male,kaggle,little,own,good,24,821.0
,,,,,,kaggle,,,bad,24,561.0
30.0,moderate,2991,radio/TV,2.0,female,kaggle,,own,good,25,912.0
27.0,moderate,8318,business,3.0,female,kaggle,little,free,bad,42,491.0
36.0,,10974,furniture/equipment,3.0,female,kaggle,little,own,bad,26,953.0
24.0,,6314,vacation/others,3.0,male,kaggle,little,own,good,27,665.0
6.0,,700,radio/TV,2.0,male,kaggle,,free,good,36,519.0
12.0,little,1289,furniture/equipment,1.0,male,kaggle,little,own,good,21,587.0
6.0,little,428,furniture/equipment,2.0,female,kaggle,little,own,good,49,750.0
48.0,,10222,radio/TV,2.0,male,kaggle,,own,good,37,657.0
4.0,,1544,radio/TV,1.0,male,kaggle,little,own,5,42,234.0
8.0,moderate,760,radio/TV,1.0,female,kaggle,little,own,good,44,732.0
30.0,rich,3017,radio/TV,2.0,male,kaggle,little,own,good,47,669.0
12.0,,1555,repairs,2.0,male,kaggle,rich,free,bad,55,754.0
27.0,,2570,car,2.0,female,kaggle,little,rent,bad,21,724.0
12.0,rich,1297,radio/TV,2.0,male,kaggle,little,rent,good,,660.0
,,,business,3.0,male,kaggle,little,own,good,74,606.0
21.0,,3275,car,3.0,male,kaggle,little,own,good,36,772.0
12.0,little,1498,radio/TV,2.0,female,kaggle,little,own,good,23,934.0
18.0,little,3509,radio/TV,2.0,female,kaggle,little,own,good,25,777.0
9.0,,1980,furniture/equipment,2.0,female,kaggle,little,rent,bad,19,633.0
24.0,little,1938,radio/TV,2.0,male,kaggle,little,own,bad,32,321.0
24.0,little,7721,furniture/equipment,2.0,female,kaggle,,own,good,30,108.0
24.0,little,3660,radio/TV,2.0,female,kaggle,little,own,good,28,630.0
48.0,moderate,3979,radio/TV,2.0,male,kaggle,,own,good,41,568.0
36.0,moderate,3990,domestic appliances,0.0,female,kaggle,,own,good,29,735.0
21.0,,3160,radio/TV,2.0,male,kaggle,,own,good,41,742.0
6.0,,2108,radio/TV,2.0,male,kaggle,little,rent,good,29,193.0
18.0,moderate,6260,car,1.0,male,kaggle,little,rent,good,28,112.0
18.0,moderate,2622,business,2.0,male,kaggle,moderate,own,good,34,97.0
27.0,little,2442,business,3.0,male,kaggle,little,own,good,43,890.0
12.0,,2859,car,3.0,male,kaggle,,own,good,38,947.0
12.0,rich,939,car,2.0,male,kaggle,quite rich,own,bad,28,409.0
12.0,little,2122,car,1.0,male,kaggle,little,rent,good,39,494.0
24.0,,3488,car,2.0,female,kaggle,moderate,own,good,23,523.0
24.0,moderate,1355,car,,female,kaggle,little,,bad,25,634.0
24.0,moderate,4057,furniture/equipment,2.0,male,kaggle,little,own,bad,43,884.0
18.0,little,2462,furniture/equipment,2.0,male,kaggle,little,own,bad,22,143.0
6.0,moderate,454,repairs,1.0,male,kaggle,little,own,good,22,964.0
,,,,1.0,male,kaggle,little,own,good,37,709.0
20.0,little,2235,car,2.0,male,kaggle,little,rent,bad,33,850.0
27.0,moderate,3915,business,2.0,male,kaggle,little,own,bad,36,192.0
12.0,moderate,1567,radio/TV,2.0,female,kaggle,little,own,good,22,12.0
4.0,,3380,car,2.0,female,kaggle,little,own,good,37,734.0
18.0,,1505,radio/TV,3.0,male,kaggle,little,free,good,32,717.0
12.0,little,795,education,2.0,female,kaggle,little,own,bad,53,885.0
24.0,little,4817,car,2.0,male,kaggle,little,own,bad,31,454.0
10.0,,1231,car,1.0,male,kaggle,little,own,good,32,264.0
12.0,little,1526,car,3.0,male,kaggle,little,free,good,66,75.0
18.0,,3780,furniture/equipment,3.0,male,kaggle,little,own,good,35,824.0
48.0,moderate,5096,furniture/equipment,3.0,female,kaggle,little,own,bad,30,444.0
39.0,moderate,11760,education,2.0,male,kaggle,moderate,rent,good,32,395.0
12.0,,640,car,1.0,male,kaggle,little,own,good,49,619.0
12.0,little,2577,furniture/equipment,2.0,male,kaggle,little,own,good,42,176.0
14.0,,802,car,1.0,male,kaggle,little,own,good,27,403.0
12.0,little,709,radio/TV,1.0,male,kaggle,little,own,bad,57,849.0
12.0,little,1372,car,2.0,male,kaggle,little,own,bad,36,566.0
12.0,,522,radio/TV,2.0,male,kaggle,quite rich,own,good,42,933.0
36.0,little,8335,car,2.0,male,kaggle,,free,bad,47,828.0
6.0,moderate,931,car,1.0,female,kaggle,moderate,own,bad,32,595.0
15.0,,,radio/TV,,,kaggle,,,good,,
10.0,,2210,furniture/equipment,1.0,male,kaggle,little,rent,bad,25,864.0
28.0,,2743,radio/TV,2.0,male,kaggle,little,own,good,29,426.0
24.0,little,1382,business,2.0,male,kaggle,moderate,own,good,26,872.0
18.0,little,-23456654,radio/TV,2.0,female,kaggle,little,own,good,27,866.0
18.0,little,3104,business,2.0,male,kaggle,little,own,good,31,216.0
6.0,,4611,furniture/equipment,2.0,female,kaggle,little,own,bad,32,278.0
24.0,moderate,7758,car,2.0,female,kaggle,rich,rent,good,29,153.0
18.0,little,2659,furniture/equipment,2.0,male,kaggle,rich,own,good,28,323.0
6.0,,1740,radio/TV,2.0,male,kaggle,little,rent,good,30,960.0
24.0,,3235,,,male,kaggle,,own,,26,408.0
,,6110,education,2.0,male,kaggle,little,free,good,31,36.0
24.0,,1559,business,2.0,male,kaggle,little,own,good,50,843.0
24.0,,1940,car,2.0,male,kaggle,rich,own,good,60,781.0
21.0,,2241,furniture/equipment,2.0,male,kaggle,little,own,good,50,662.0
30.0,,6742,radio/TV,2.0,male,kaggle,,own,good,36,879.0
18.0,,1169,radio/TV,2.0,male,kaggle,,own,good,29,894.0
15.0,,1569,radio/TV,1.0,male,kaggle,moderate,own,good,34,991.0
18.0,moderate,2427,,2.0,male,kaggle,,own,good,42,977.0
12.0,little,2577,furniture/equipment,2.0,male,kaggle,little,own,good,42,176.0
15.0,little,975,furniture/equipment,2.0,male,kaggle,little,own,good,25,690.0
24.0,moderate,4351,furniture/equipment,1.0,female,kaggle,,own,good,48,317.0
6.0,,6761,car,3.0,male,kaggle,little,own,good,45,738.0
48.0,moderate,3844,business,1.0,male,kaggle,moderate,free,bad,34,191.0
24.0,little,3345,furniture/equipment,3.0,male,kaggle,little,rent,bad,39,919.0
11.0,little,3905,car,2.0,male,kaggle,little,rent,good,36,456.0
24.0,,1585,furniture/equipment,2.0,male,kaggle,little,own,good,40,497.0
10.0,little,2241,car,1.0,male,kaggle,little,rent,good,48,22.0
30.0,,4530,radio/TV,3.0,female,kaggle,little,rent,good,26,675.0
15.0,,5045,car,2.0,female,kaggle,,own,good,59,760.0
36.0,,8947,car,3.0,male,kaggle,,own,good,31,895.0
36.0,little,8065,education,3.0,female,kaggle,little,own,bad,25,771.0
48.0,moderate,6416,business,2.0,female,kaggle,little,rent,bad,59,728.0
22.0,,2675,radio/TV,2.0,male,kaggle,quite rich,own,good,40,786.0
24.0,little,4870,car,2.0,male,kaggle,little,free,bad,53,4.0
12.0,,2292,,3.0,male,kaggle,little,,,42,412.0
30.0,moderate,3496,furniture/equipment,2.0,male,kaggle,rich,own,good,34,666.0
24.0,,3868,car,3.0,female,kaggle,little,rent,good,41,121.0
9.0,moderate,2030,furniture/equipment,2.0,male,kaggle,,own,good,24,254.0
12.0,little,3499,car,2.0,female,kaggle,little,own,bad,29,129.0
21.0,little,1602,car,2.0,male,kaggle,little,own,good,30,825.0
10.0,,1347,radio/TV,,,kaggle,,,good,,686.0
15.0,moderate,2631,car,2.0,female,kaggle,moderate,rent,bad,28,531.0
60.0,moderate,9157,radio/TV,3.0,male,kaggle,,free,good,27,616.0
12.0,little,1680,radio/TV,2.0,male,kaggle,quite rich,own,good,35,114.0
,,,,,,kaggle,,,good,23,417.0
,,,,1.0,male,kaggle,little,own,,37,
36.0,rich,4210,radio/TV,2.0,male,kaggle,little,own,bad,26,230.0
11.0,little,3939,car,1.0,male,kaggle,little,own,good,40,969.0
12.0,,996,repairs,2.0,female,kaggle,,own,good,23,550.0
10.0,rich,1275,furniture/equipment,2.0,female,kaggle,little,own,good,23,604.0
15.0,,3556,car,2.0,male,kaggle,,own,good,29,962.0
12.0,little,1108,repairs,2.0,male,kaggle,,own,bad,28,89.0
9.0,little,1364,radio/TV,2.0,male,kaggle,little,own,good,59,848.0
15.0,,1316,radio/TV,1.0,male,kaggle,quite rich,own,good,47,726.0
21.0,moderate,2353,car,2.0,male,kaggle,little,own,good,47,
30.0,,5771,radio/TV,2.0,female,kaggle,little,own,good,25,753.0
18.0,moderate,1301,radio/TV,1.0,male,kaggle,little,own,good,32,498.0
18.0,,3422,furniture/equipment,2.0,male,kaggle,little,own,good,47,844.0
15.0,,1532,education,2.0,female,kaggle,moderate,own,good,31,526.0
36.0,moderate,5800,car,2.0,male,kaggle,little,own,good,34,893.0
24.0,little,1823,radio/TV,3.0,male,kaggle,little,own,bad,30,235.0
48.0,little,4308,business,,female,kaggle,little,rent,bad,24,11.0
12.0,little,2578,furniture/equipment,3.0,female,kaggle,little,free,good,55,396.0
24.0,moderate,3878,car,2.0,male,kaggle,moderate,own,good,37,284.0
,,,,3.0,female,kaggle,little,own,,26,
24.0,moderate,1355,car,1.0,female,kaggle,little,own,bad,25,634.0
24.0,moderate,3092,radio/TV,2.0,male,kaggle,moderate,rent,bad,22,470.0
12.0,little,691,car,2.0,male,kaggle,little,own,bad,35,759.0
11.0,,1393,car,3.0,female,kaggle,little,own,good,35,45.0
30.0,little,10623,car,3.0,male,kaggle,little,free,good,38,205.0
12.0,moderate,754,education,2.0,male,kaggle,,own,good,38,463.0
24.0,,4042,car,2.0,male,kaggle,,own,good,43,851.0
20.0,little,2235,car,2.0,male,kaggle,little,rent,bad,33,850.0
6.0,,783,car,1.0,male,kaggle,,own,good,26,55.0
15.0,little,975,furniture/equipment,2.0,male,kaggle,little,own,good,25,690.0
36.0,,3535,car,2.0,male,kaggle,little,own,good,37,776.0
,,,,,,kaggle,,,bad,29,557.0
8.0,moderate,1414,radio/TV,2.0,male,kaggle,little,own,good,33,173.0
9.0,rich,745,radio/TV,1.0,female,kaggle,little,own,bad,28,936.0
24.0,little,6872,furniture/equipment,2.0,male,kaggle,little,own,bad,55,924.0
12.0,little,3651,car,2.0,male,kaggle,rich,own,good,31,689.0
6.0,rich,1047,education,1.0,female,kaggle,little,,good,50,664.0
24.0,little,6419,car,3.0,female,kaggle,little,free,good,44,292.0
24.0,,4042,car,2.0,male,kaggle,,own,good,43,851.0
9.0,moderate,1919,furniture/equipment,2.0,male,kaggle,little,rent,good,35,103.0
6.0,,1898,radio/TV,1.0,male,kaggle,,own,good,34,159.0
36.0,,8947,car,3.0,male,kaggle,,own,good,31,895.0
36.0,moderate,9034,furniture/equipment,3.0,male,kaggle,moderate,rent,bad,29,496.0
12.0,little,2149,radio/TV,2.0,male,kaggle,little,free,bad,29,257.0
18.0,moderate,7374,furniture/equipment,3.0,male,kaggle,little,own,good,40,387.0
